Customer ID,Age,Gender,Income Level,Country,Reservation Date,Travel Date,Travel Duration,Travel Type,Travel Destination,Reservation Fee,Reservation Status,Customer Satisfaction Score
CUST_0001,48,Female,Medium,UK,2024-04-14 11:05:44.764459,2024-07-07 11:05:44.764459,29,Adventure,London,6088.98,Completed,8
CUST_0002,44,Male,Very High,Australia,2023-10-18 11:05:44.764477,2023-12-13 11:05:44.764477,29,Relaxation,Dubai,4745.06,Cancelled,1
CUST_0003,48,Male,High,Australia,2023-12-12 11:05:44.764482,2024-02-13 11:05:44.764482,17,Relaxation,London,3822.65,Pending,3
CUST_0004,66,Male,Very High,India,2023-09-01 11:05:44.764485,2023-09-09 11:05:44.764485,10,Adventure,Dubai,8460.69,Completed,9
CUST_0005,55,Female,Low,Australia,2023-08-05 11:05:44.764487,2023-09-18 11:05:44.764487,29,Family,Barcelona,8664.9,Cancelled,2
CUST_0006,58,Female,Low,Brazil,2024-03-24 11:05:44.764490,2024-05-26 11:05:44.764490,18,Holiday,Tokyo,8604.34,Pending,10
CUST_0007,18,Male,Very High,India,2023-11-27 11:05:44.764493,2024-01-10 11:05:44.764493,18,Adventure,Istanbul,9573.22,Cancelled,9
CUST_0008,61,Female,Very High,Spain,2023-07-12 11:05:44.764496,2023-10-01 11:05:44.764496,17,Relaxation,Istanbul,7872.92,Completed,3
CUST_0009,34,Female,Low,China,2023-07-24 11:05:44.764501,2023-07-31 11:05:44.764501,27,Family,Istanbul,9659.15,Completed,7
CUST_0010,34,Male,Medium,Italy,2023-12-14 11:05:44.764505,2024-01-25 11:05:44.764505,14,Holiday,Moscow,5460.59,Pending,7
CUST_0011,39,Male,Low,Brazil,2024-02-24 11:05:44.764508,2024-04-28 11:05:44.764508,4,Holiday,Tokyo,539.6,Completed,3
CUST_0012,23,Female,High,Germany,2024-06-28 11:05:44.764510,2024-08-14 11:05:44.764510,7,Adventure,Berlin,3544.59,Cancelled,8
CUST_0013,60,Female,Very High,France,2023-09-12 11:05:44.764511,2023-12-04 11:05:44.764511,18,Relaxation,Dubai,1435.28,Pending,2
CUST_0014,32,Male,Low,Australia,2024-05-01 11:05:44.764513,2024-07-21 11:05:44.764513,9,Business,Bangkok,9731.7,Cancelled,3
CUST_0015,29,Male,Medium,India,2023-12-23 11:05:44.764515,2024-02-18 11:05:44.764515,29,Family,Sydney,4775.97,Completed,6
CUST_0016,62,Female,Medium,USA,2024-04-12 11:05:44.764516,2024-04-21 11:05:44.764516,24,Holiday,Barcelona,9009.9,Pending,8
CUST_0017,25,Female,Medium,France,2023-11-26 11:05:44.764517,2023-12-08 11:05:44.764517,8,Family,London,4008.42,Completed,10
CUST_0018,47,Female,Very High,USA,2023-09-23 11:05:44.764519,2023-12-01 11:05:44.764519,27,Relaxation,Rome,4772.07,Cancelled,6
CUST_0019,57,Female,High,India,2024-06-11 11:05:44.764520,2024-07-18 11:05:44.764520,28,Family,Moscow,6411.18,Completed,9
CUST_0020,26,Female,Low,Australia,2023-12-29 11:05:44.764522,2024-03-22 11:05:44.764522,3,Business,Berlin,5788.81,Completed,1
CUST_0021,66,Male,High,USA,2024-05-25 11:05:44.764523,2024-07-02 11:05:44.764523,10,Family,Bangkok,8212.13,Cancelled,9
CUST_0022,57,Female,Very High,France,2023-08-14 11:05:44.764525,2023-11-02 11:05:44.764525,23,Holiday,Moscow,3720.58,Pending,3
CUST_0023,33,Female,Medium,USA,2023-09-11 11:05:44.764526,2023-11-06 11:05:44.764526,12,Business,London,4763.47,Completed,7
CUST_0024,52,Male,Low,USA,2023-12-14 11:05:44.764527,2024-01-27 11:05:44.764527,5,Family,Moscow,1046.98,Cancelled,2
CUST_0025,35,Female,Low,India,2024-01-19 11:05:44.764529,2024-04-12 11:05:44.764529,20,Relaxation,Barcelona,6815.94,Cancelled,7
CUST_0026,28,Female,Low,Japan,2024-03-11 11:05:44.764530,2024-06-02 11:05:44.764530,8,Family,Tokyo,4334.4,Cancelled,6
CUST_0027,24,Male,Very High,Germany,2023-10-23 11:05:44.764531,2023-12-21 11:05:44.764531,20,Family,Istanbul,8298.99,Pending,8
CUST_0028,57,Male,High,USA,2023-11-18 11:05:44.764533,2023-12-03 11:05:44.764533,24,Family,Tokyo,2195.6,Pending,9
